날짜,시도지역코드,발생건수(건)
20141027,49,593
20141027,99,45554
20141028,11,7145
20141028,26,2335
20141028,27,1864
20141028,28,1632
20141028,29,874
20141028,30,1088
20141028,31,645
20141028,41,7909
20141028,42,1066
20141028,43,1073
20141028,44,1452
20141028,45,1599
20141028,46,1246
20141028,47,1881
20141028,48,2204
20141028,49,492
20141028,99,34509
20141029,11,7190
20141029,26,2323
20141029,27,1887
20141029,28,1668
20141029,29,842
20141029,30,1107
20141029,31,639
20141029,41,7826
20141029,42,1027
20141029,43,1090
20141029,44,1399
20141029,45,1544
20141029,46,1246
20141029,47,1933
20141029,48,2196
20141029,49,467
20141029,99,34388
20141030,11,7117
20141030,26,2267
20141030,27,1843
20141030,28,1506
20141030,29,775
20141030,30,1046
20141030,31,621
20141030,41,7966
20141030,42,1025
20141030,43,1045
20141030,44,1391
20141030,45,1537
20141030,46,1248
20141030,47,1854
20141030,48,2016
20141030,49,458
20141030,99,33718
20141031,11,7304
20141031,26,2063
20141031,27,1620
20141031,28,1658
20141031,29,689
20141031,30,939
20141031,31,554
20141031,41,7741
20141031,42,1030
20141031,43,1033
20141031,44,1327
20141031,45,1415
20141031,46,1290
20141031,47,1915
20141031,48,2079
20141031,49,480
20141031,99,33149
20141101,11,5517
20141101,26,1727
20141101,27,1602
20141101,28,1281
20141101,29,702
20141101,30,910
20141101,31,538
20141101,41,6591
20141101,42,710
20141101,43,926
20141101,44,1241
20141101,45,1107
20141101,46,986
20141101,47,1511
20141101,48,1690
20141101,49,377
20141101,99,27420
20141102,11,252
20141102,26,68
20141102,27,44
20141102,28,64
20141102,29,34
20141102,30,42
20141102,31,24
20141102,41,377
20141102,42,17
20141102,43,38
20141102,44,60
20141102,45,51
20141102,46,49
20141102,47,44
20141102,48,54
20141102,49,34
20141102,99,1252
20141103,11,9115
20141103,26,3086
20141103,27,2386
20141103,28,2146
20141103,29,1105
20141103,30,1418
20141103,31,857
20141103,41,10448
20141103,42,1421
20141103,43,1367
20141103,44,1898
20141103,45,2108
20141103,46,1628
20141103,47,2454
20141103,48,2884
20141103,49,643
20141103,99,44973
20141104,11,7201
20141104,26,2459
20141104,27,1888
20141104,28,1626
20141104,29,824
20141104,30,1093
20141104,31,667
20141104,41,7986
20141104,42,1115
20141104,43,1066
20141104,44,1441
20141104,45,1634
20141104,46,1294
20141104,47,2033
20141104,48,2249
20141104,49,533
20141104,99,35116
20141105,11,7035
20141105,26,2380
20141105,27,1931
20141105,28,1579
20141105,29,777
20141105,30,1059
20141105,31,647
20141105,41,7692
20141105,42,983
20141105,43,1010
20141105,44,1411
20141105,45,1491
20141105,46,1221
20141105,47,1838
20141105,48,2225
20141105,49,444
20141105,99,33732
20141106,11,6718
20141106,26,2390
20141106,27,1874
20141106,28,1535
20141106,29,761
20141106,30,1027
20141106,31,644
20141106,41,7366
20141106,42,1040
20141106,43,1022
20141106,44,1377
20141106,45,1455
20141106,46,1250
20141106,47,1859
20141106,48,2014
20141106,49,418
20141106,99,32760
20141107,11,7346
20141107,26,2420
20141107,27,1888
20141107,28,1622
20141107,29,863
20141107,30,1156
20141107,31,650
20141107,41,8055
20141107,42,1071
20141107,43,999
20141107,44,1369
20141107,45,1546
20141107,46,1311
20141107,47,1987
20141107,48,2353
20141107,49,486
20141107,99,35135
20141108,11,5329
20141108,26,1756
20141108,27,1576
20141108,28,1245
20141108,29,666
20141108,30,849
20141108,31,530
20141108,41,6312
20141108,42,649
20141108,43,829
20141108,44,1087
20141108,45,1097
20141108,46,981
20141108,47,1436
20141108,48,1619
20141108,49,363
20141108,99,26332
20141109,11,241
20141109,26,73
20141109,27,48
20141109,28,34
20141109,29,52
20141109,30,50
20141109,31,36
20141109,41,384
20141109,42,23
20141109,43,50
20141109,44,67
20141109,45,60
20141109,46,58
20141109,47,41
20141109,48,36
20141109,49,34
20141109,99,1288
20141110,11,9080
20141110,26,2955
20141110,27,2391
20141110,28,2082
20141110,29,1049
20141110,30,1327
20141110,31,818
20141110,41,10066
20141110,42,1267
20141110,43,1301
20141110,44,1775
20141110,45,1971
20141110,46,1587
20141110,47,2477
20141110,48,2854
20141110,49,554
20141110,99,43558
20141111,11,6941
20141111,26,2383
20141111,27,1914
20141111,28,1508
20141111,29,739
20141111,30,1069
20141111,31,651
20141111,41,7581
20141111,42,972
20141111,43,938
20141111,44,1353
20141111,45,1551
20141111,46,1151
20141111,47,1843
20141111,48,2107
20141111,49,501
20141111,99,33214
20141112,11,6523
20141112,26,2240
20141112,27,1828
20141112,28,1502
20141112,29,743
20141112,30,974
20141112,31,655
20141112,41,7229
20141112,42,1003
20141112,43,984
20141112,44,1360
20141112,45,1498
20141112,46,1152
20141112,47,1914
20141112,48,2270
20141112,49,490
20141112,99,32375
20141113,11,6070
20141113,26,2148
20141113,27,1733
20141113,28,1313
20141113,29,751
20141113,30,886
20141113,31,605
20141113,41,6942
20141113,42,943
20141113,43,965
20141113,44,1329
20141113,45,1246
20141113,46,1081
20141113,47,1827
20141113,48,1865
20141113,49,511
20141113,99,30223
20141114,11,7164
20141114,26,2415
20141114,27,1959
20141114,28,1579
20141114,29,761
20141114,30,1115
20141114,31,686
20141114,41,8057
20141114,42,1044
20141114,43,1107
20141114,44,1386
20141114,45,1508
20141114,46,1165
20141114,47,2017
20141114,48,2246
20141114,49,516
20141114,99,34731
20141115,11,5299
20141115,26,1797
20141115,27,1520
20141115,28,1246
20141115,29,670
20141115,30,836
20141115,31,577
20141115,41,6248
20141115,42,679
20141115,43,827
20141115,44,1064
20141115,45,1045
20141115,46,834
20141115,47,1536
20141115,48,1657
20141115,49,334
20141115,99,26175
20141116,11,225
20141116,26,71
20141116,27,60
20141116,28,90
20141116,29,32
20141116,30,52
20141116,31,35
20141116,41,389
20141116,42,33
20141116,43,55
20141116,44,64
20141116,45,54
20141116,46,53
20141116,47,39
20141116,48,53
20141116,49,31
20141116,99,1339
20141117,11,8919
20141117,26,3034
20141117,27,2410
20141117,28,2072
20141117,29,1074
20141117,30,1401
20141117,31,900
20141117,41,10015
20141117,42,1284
20141117,43,1377
20141117,44,1852
20141117,45,1930
20141117,46,1614
20141117,47,2536
20141117,48,2942
20141117,49,611
20141117,99,43983
20141118,11,6701
20141118,26,2326
20141118,27,1874
20141118,28,1543
20141118,29,778
20141118,30,1031
20141118,31,662
20141118,41,7446
20141118,42,1047
20141118,43,1034
20141118,44,1337
20141118,45,1494
20141118,46,1201
20141118,47,1910
20141118,48,2226
20141118,49,484
20141118,99,33106
20141119,11,6641
20141119,26,2321
20141119,27,1868
20141119,28,1543
20141119,29,800
20141119,30,990
20141119,31,729
20141119,41,7371
20141119,42,904
20141119,43,1001
20141119,44,1302
20141119,45,1371
20141119,46,1125
20141119,47,1878
20141119,48,2069
20141119,49,411
20141119,99,32333
20141120,11,6502
20141120,26,2326
20141120,27,1855
20141120,28,1408
20141120,29,745
20141120,30,948
20141120,31,663
20141120,41,7272
20141120,42,949
20141120,43,1009
20141120,44,1365
20141120,45,1400
20141120,46,1140
20141120,47,1782
20141120,48,1977
20141120,49,478
20141120,99,31829
20141121,11,7259
20141121,26,2401
20141121,27,1883
20141121,28,1524
20141121,29,858
20141121,30,1040
20141121,31,682
20141121,41,7948
20141121,42,1009
20141121,43,1125
20141121,44,1383
20141121,45,1522
20141121,46,1278
20141121,47,1954
20141121,48,2262
20141121,49,466
20141121,99,34602
20141122,11,4756
20141122,26,1633
20141122,27,1435
20141122,28,1076
20141122,29,641
20141122,30,776
20141122,31,537
20141122,41,5803
20141122,42,687
20141122,43,812
20141122,44,1027
20141122,45,973
20141122,46,874
20141122,47,1459
20141122,48,1635
20141122,49,365
20141122,99,24494
20141123,11,237
20141123,26,64
20141123,27,43
20141123,28,46
20141123,29,44
20141123,30,34
20141123,31,32
20141123,41,369
20141123,42,25
20141123,43,57
20141123,44,54
20141123,45,49
20141123,46,54
20141123,47,47
20141123,48,39
20141123,49,45
20141123,99,1239
20141124,11,8588
20141124,26,2773
20141124,27,1887
20141124,28,2024
20141124,29,872
20141124,30,1182
20141124,31,708
20141124,41,9673
20141124,42,1347
20141124,43,1221
20141124,44,1664
20141124,45,1653
20141124,46,1355
20141124,47,2095
20141124,48,2409
20141124,49,645
20141124,99,40104
20141125,11,6968
20141125,26,2311
20141125,27,1889
20141125,28,1488
20141125,29,895
20141125,30,990
20141125,31,563
20141125,41,7681
20141125,42,1015
20141125,43,1053
20141125,44,1559
20141125,45,1593
20141125,46,1193
20141125,47,1854
20141125,48,2133
20141125,49,570
20141125,99,33761
20141126,11,7010
20141126,26,2326
20141126,27,1762
20141126,28,1539
20141126,29,813
20141126,30,964
20141126,31,651
20141126,41,7726
20141126,42,945
20141126,43,1075
20141126,44,1370
20141126,45,1480
20141126,46,1122
20141126,47,1878
20141126,48,2137
20141126,49,451
20141126,99,33253
20141127,11,6650
20141127,26,2222
20141127,27,1849
20141127,28,1396
20141127,29,725
20141127,30,968
20141127,31,599
20141127,41,7295
20141127,42,1030
20141127,43,1050
20141127,44,1392
20141127,45,1353
20141127,46,1060
20141127,47,1804
20141127,48,2062
20141127,49,427
20141127,99,31891
20141128,11,5903
20141128,26,2186
20141128,27,1643
20141128,28,1312
20141128,29,774
20141128,30,1034
20141128,31,588
20141128,41,6730
20141128,42,959
20141128,43,1100
20141128,44,1307
20141128,45,1266
20141128,46,1111
20141128,47,1738
20141128,48,2051
20141128,49,492
20141128,99,30197
20141129,11,5366
20141129,26,1609
20141129,27,1502
20141129,28,1211
20141129,29,586
20141129,30,790
20141129,31,500
20141129,41,6308
20141129,42,692
20141129,43,871
20141129,44,1072
20141129,45,1045
20141129,46,858
20141129,47,1421
20141129,48,1623
20141129,49,334
20141129,99,25793
20141130,11,212
20141130,26,84
20141130,27,51
20141130,28,62
20141130,29,46
20141130,30,48
20141130,31,27
20141130,41,409
20141130,42,30
20141130,43,49
20141130,44,53
20141130,45,46
20141130,46,71
20141130,47,43
20141130,48,57
20141130,49,28
20141130,99,1316
20141201,11,8127
20141201,26,2781
20141201,27,2134
20141201,28,1874
20141201,29,927
20141201,30,1262
20141201,31,725
20141201,41,8935
20141201,42,1268
20141201,43,1240
20141201,44,1597
20141201,45,1786
20141201,46,1389
20141201,47,2183
20141201,48,2668
20141201,49,525
20141201,99,39430
20141202,11,6194
20141202,26,2137
20141202,27,1639
20141202,28,1390
20141202,29,669
20141202,30,871
20141202,31,584
20141202,41,7087
20141202,42,987
20141202,43,1040
20141202,44,1372
20141202,45,1352
20141202,46,1056
20141202,47,1710
20141202,48,1997
20141202,49,475
20141202,99,30566
20141203,11,6373
20141203,26,2290
20141203,27,1786
20141203,28,1377
20141203,29,770
20141203,30,889
20141203,31,567
20141203,41,7025
20141203,42,984
20141203,43,924
20141203,44,1188
20141203,45,1447
20141203,46,1077
20141203,47,1791
20141203,48,2189
20141203,49,388
20141203,99,31070
20141204,11,6725
20141204,26,2156
20141204,27,1780
20141204,28,1409
20141204,29,751
20141204,30,943
20141204,31,613
20141204,41,7492
20141204,42,1064
20141204,43,1070
20141204,44,1243
20141204,45,1367
20141204,46,1121
20141204,47,1895
20141204,48,1891
20141204,49,431
20141204,99,31957
20141205,11,6890
20141205,26,2202
20141205,27,1752
20141205,28,1520
20141205,29,779
20141205,30,1155
20141205,31,608
20141205,41,7891
20141205,42,1025
20141205,43,1224
20141205,44,1375
20141205,45,1326
20141205,46,982
20141205,47,1976
20141205,48,2277
20141205,49,482
20141205,99,33473
20141206,11,5175
20141206,26,1674
20141206,27,1575
20141206,28,1223
20141206,29,626
20141206,30,909
20141206,31,525
20141206,41,6532
20141206,42,718
20141206,43,1024
20141206,44,1139
20141206,45,1079
20141206,46,793
20141206,47,1428
20141206,48,1593
20141206,49,374
20141206,99,26395
20141207,11,277
20141207,26,82
20141207,27,57
20141207,28,68
20141207,29,44
20141207,30,56
20141207,31,32
20141207,41,405
20141207,42,28
20141207,43,53
20141207,44,51
20141207,45,52
20141207,46,64
20141207,47,51
20141207,48,66
20141207,49,46
20141207,99,1432
20141208,11,9170
20141208,26,2825
20141208,27,2210
20141208,28,1816
20141208,29,1053
20141208,30,1315
20141208,31,722
20141208,41,10242
20141208,42,1344
20141208,43,1339
20141208,44,1882
20141208,45,1946
20141208,46,1542
20141208,47,2210
20141208,48,2455
20141208,49,603
20141208,99,42686
20141209,11,7104
20141209,26,2361
20141209,27,1879
20141209,28,1564
20141209,29,774
20141209,30,1126
20141209,31,698
20141209,41,7809
20141209,42,1104
20141209,43,1182
20141209,44,1616
20141209,45,1714
20141209,46,1127
20141209,47,2194
20141209,48,2128
20141209,49,477
20141209,99,34861
20141210,11,7158
20141210,26,2285
20141210,27,1767
20141210,28,1598
20141210,29,786
20141210,30,1036
20141210,31,605
20141210,41,7671
20141210,42,975
20141210,43,1086
20141210,44,1481
20141210,45,1547
20141210,46,1188
20141210,47,2035
20141210,48,2198
20141210,49,421
20141210,99,33847
20141211,11,6477
20141211,26,2214
20141211,27,1777
20141211,28,1403
20141211,29,711
20141211,30,996
20141211,31,590
20141211,41,7357
20141211,42,1041
20141211,43,1059
20141211,44,1453
20141211,45,1485
20141211,46,1209
20141211,47,1859
20141211,48,1966
20141211,49,440
20141211,99,32045
20141212,11,6704
20141212,26,2192
20141212,27,1790
20141212,28,1551
20141212,29,778
20141212,30,1141
20141212,31,630
20141212,41,7684
20141212,42,1130
20141212,43,1209
20141212,44,1495
20141212,45,1465
20141212,46,1166
20141212,47,2092
20141212,48,2265
20141212,49,484
20141212,99,33780
20141213,11,5309
20141213,26,1525
20141213,27,1557
20141213,28,1216
20141213,29,652
20141213,30,828
20141213,31,520
20141213,41,6207
20141213,42,698
20141213,43,864
20141213,44,985
20141213,45,920
20141213,46,852
20141213,47,1444
20141213,48,1634
20141213,49,354
20141213,99,25569
20141214,11,246
20141214,26,65
20141214,27,57
20141214,28,60
20141214,29,42
20141214,30,53
20141214,31,37
20141214,41,404
20141214,42,29
20141214,43,64
20141214,44,66
20141214,45,72
20141214,46,53
20141214,47,45
20141214,48,49
20141214,49,31
20141214,99,1374
20141215,11,8574
20141215,26,3119
20141215,27,2347
20141215,28,1946
20141215,29,1101
20141215,30,1578
20141215,31,871
20141215,41,10128
20141215,42,1447
20141215,43,1599
20141215,44,2082
20141215,45,2237
20141215,46,1632
20141215,47,2946
20141215,48,2853
20141215,49,608
20141215,99,45077
20141216,11,6800
20141216,26,2402
20141216,27,1873
20141216,28,1481
20141216,29,772
20141216,30,1030
20141216,31,664
20141216,41,7561
20141216,42,988
20141216,43,982
20141216,44,1418
20141216,45,1439
20141216,46,1115
20141216,47,1916
20141216,48,2126
20141216,49,463
20141216,99,33035
20141217,11,5986
20141217,26,2091
20141217,27,1715
20141217,28,1437
20141217,29,581
20141217,30,1028
20141217,31,593
20141217,41,6851
20141217,42,865
20141217,43,1046
20141217,44,1208
20141217,45,1213
20141217,46,830
20141217,47,1803
20141217,48,2070
20141217,49,378
20141217,99,29702
20141218,11,6077
20141218,26,2301
20141218,27,1788
20141218,28,1280
20141218,29,778
20141218,30,1080
20141218,31,647
20141218,41,7287
20141218,42,982
20141218,43,1094
20141218,44,1426
20141218,45,1427
20141218,46,1059
20141218,47,1885
20141218,48,2019
20141218,49,471
20141218,99,31607
20141219,11,7477
20141219,26,2420
20141219,27,1954
20141219,28,1727
20141219,29,862
20141219,30,1198
20141219,31,654
20141219,41,8588
20141219,42,1039
20141219,43,1282
20141219,44,1616
20141219,45,1720
20141219,46,1276
20141219,47,2302
20141219,48,2382
20141219,49,443
20141219,99,36947
20141220,11,5467
20141220,26,1840
20141220,27,1598
20141220,28,1310
20141220,29,685
20141220,30,969
20141220,31,513
20141220,41,6508
20141220,42,599
20141220,43,928
20141220,44,1294
20141220,45,1153
20141220,46,942
20141220,47,1472
20141220,48,1795
20141220,49,365
20141220,99,27441
20141221,11,290
20141221,26,99
20141221,27,55
20141221,28,66
20141221,29,44
20141221,30,58
20141221,31,34
20141221,41,457
20141221,42,24
20141221,43,50
20141221,44,72
20141221,45,69
20141221,46,51
20141221,47,55
20141221,48,72
20141221,49,37
20141221,99,1533
20141222,11,8753
20141222,26,2965
20141222,27,2305
20141222,28,1832
20141222,29,1059
20141222,30,1471
20141222,31,777
20141222,41,9404
20141222,42,1353
